a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y
0.742324510961771,0.052713270240929,0.748243215377443,0.41402434213986,0.123163076175842,0.103927282895424,4.99961494002491,0.0182634082520381,0.0599000634648837,0.198225071569905,0.337175068405757,0.00878838152624667,0.0148870453145355,0.0149434232165179,0.083671462023844,0.0796225899127312,0.128184725078982,0.031981468698237,0.0287932551573031,0.0300586746495625,0.000272605437319726,0.000114367419341579,0.0011735596959589,0.375462586416397,0.169411958586779
0.746381289017384,0.0510320528928386,0.726512799451134,0.393594712676792,0.120134726200139,0.104477223748717,5.36502881806685,0.0182378215850862,0.0596057556821448,0.19586168354728,0.335857601174378,0.00875239347730014,0.0145619820244516,0.0147689494672081,0.0878827325181026,0.0836427269329768,0.131534255837879,0.0322747897232661,0.0292980407556061,0.030478833394383,0.000276776379906842,0.000118608582790152,0.0014436217222479,0.373854295753758,0.188532943002716
0.746381289017384,0.0510320528928386,0.726512799451134,0.393594712676792,0.120134726200139,0.104477223748717,5.36502881806685,0.0182378215850862,0.0596057556821448,0.19586168354728,0.335857601174378,0.00875239347730014,0.0145619820244516,0.0147689494672081,0.0878827325181026,0.0836427269329768,0.131534255837879,0.0322747897232661,0.0292980407556061,0.030478833394383,0.000276776379906842,0.000118608582790152,0.0014436217222479,0.373854295753758,0.188532943002716
0.756027466093325,0.0584853668324906,0.730290687047446,0.408851785679138,0.119477350102065,0.104919799000573,5.13334871931382,0.0175797063733485,0.0587969958334666,0.198196103695693,0.339104872600316,0.00877969049506559,0.0144733982391832,0.0147209989349847,0.0961772647708972,0.0892504536046169,0.13562339954381,0.0323848326166334,0.0294418226824662,0.0305661402547976,0.000274846219542937,0.000119981438358226,0.00218604667278441,0.369558981806849,0.170272761838785
0.753154372499828,0.0551832652603759,0.741744509588916,0.398904794312268,0.116534185980325,0.10462872723913,5.13407388388476,0.0176153801244837,0.0594949114863706,0.198062963729448,0.341436524146918,0.00861611721767555,0.0144352928345243,0.0146920844783654,0.0997345959795691,0.0918103445888248,0.135288826123494,0.0321228727474043,0.028519427347415,0.0300266134863499,0.000276442704323108,0.0001162644360639,0.00286745007818049,0.368817057756921,0.190669318940626
0.746326185288026,0.0571931541283322,0.74793656172367,0.395484004628307,0.114512054519918,0.104099631885263,5.10253658413595,0.0176394447143828,0.0597281641553786,0.1964994141428,0.34470296341033,0.00856621454248631,0.0145106766327681,0.0147366094949309,0.103226656823334,0.0959571390651901,0.136072429361722,0.0324380117928492,0.0294123787851216,0.0307789774731407,0.000273354125657322,0.000112372227495981,0.00271142602092265,0.366924061601243,0.176264934101636
0.746326185288026,0.0571931541283322,0.74793656172367,0.395484004628307,0.114512054519918,0.104099631885263,5.10253658413595,0.0176394447143828,0.0597281641553786,0.1964994141428,0.34470296341033,0.00856621454248631,0.0145106766327681,0.0147366094949309,0.103226656823334,0.0959571390651901,0.136072429361722,0.0324380117928492,0.0294123787851216,0.0307789774731407,0.000273354125657322,0.000112372227495981,0.00271142602092265,0.366924061601243,0.176264934101636
0.757645052338596,0.0536927045574367,0.741582806911961,0.379379597880953,0.109846264987259,0.103277895024163,5.10841424899552,0.0179733562737548,0.0591000117597332,0.197670252339676,0.348428181661523,0.00860259370415243,0.0143705233529457,0.0146317322060938,0.0984363988432311,0.0934853815794416,0.136218907920142,0.0321074839319427,0.028465985074494,0.0302478137919235,0.000264826171748641,0.000120652594613209,0.00130089302869849,0.364528350935803,0.170180367614654
0.7667665884763,0.0522711921511642,0.740925534104507,0.380503469628742,0.113608704707506,0.104281522548943,5.24273520064688,0.0179697576668142,0.0596714002899534,0.197106649390362,0.351510836869725,0.00840088044904274,0.014385070886695,0.0146351909723468,0.101540720850319,0.0947583402234943,0.135042089340106,0.0318989579360926,0.0276351169067839,0.0296837161861802,0.000270051174795822,0.000124623843653777,0.00169679923962487,0.3666539651918,0.170004850073133
0.781341008894816,0.053571952490854,0.701301196737032,0.357653749691212,0.107653949909185,0.10258903850094,5.4048070163809,0.0175525358042897,0.058507258884332,0.195734406433138,0.354688305299301,0.00894643904528576,0.014550066799766,0.0147411190029061,0.104333518208477,0.0996930064043837,0.138714832137482,0.0317690243389223,0.0271441986402825,0.0294585363083063,0.000274707430439095,0.000123297187901766,0.00120930089887973,0.373141086500251,0.177246237297574
